date,population
16-04-2015,4418.830078
17-04-2015,4351.799805
20-04-2015,4417.399902
21-04-2015,4435.97998
22-04-2015,4460.810059
23-04-2015,4477.069824
24-04-2015,4536.779785
27-04-2015,4525.040039
28-04-2015,4515.27002
29-04-2015,4488.149902
30-04-2015,4414.25
01-05-2015,4479.060059
04-05-2015,4482.609863
05-05-2015,4409.390137
06-05-2015,4379.75
07-05-2015,4401.549805
08-05-2015,4458.649902
11-05-2015,4438.640137
12-05-2015,4420.649902
13-05-2015,4426.560059
14-05-2015,4495.040039
15-05-2015,4494.290039
18-05-2015,4512.950195
19-05-2015,4503.720215
20-05-2015,4505.299805
21-05-2015,4529.470215
22-05-2015,4527.160156
26-05-2015,4472.959961
27-05-2015,4546.060059
28-05-2015,4535.660156
29-05-2015,4508.25
01-06-2015,4521.850098
02-06-2015,4508.890137
03-06-2015,4519.859863
04-06-2015,4487.029785
05-06-2015,4477.189941
08-06-2015,4431.509766
09-06-2015,4427.609863
10-06-2015,4485.459961
11-06-2015,4488.470215
12-06-2015,4453.790039
15-06-2015,4432.919922
16-06-2015,4455.899902
17-06-2015,4468.97998
18-06-2015,4531.850098
19-06-2015,4513.419922
22-06-2015,4544.040039
23-06-2015,4548.740234
24-06-2015,4524.600098
25-06-2015,4514.009766
26-06-2015,4484.279785
29-06-2015,4379.870117
30-06-2015,4396.759766
01-07-2015,4429.22998
02-07-2015,4433.390137
06-07-2015,4418.660156
07-07-2015,4429.060059
08-07-2015,4351.580078
09-07-2015,4352.029785
10-07-2015,4420.149902
13-07-2015,4494.470215
14-07-2015,4523.470215
15-07-2015,4528.359863
16-07-2015,4594.899902
17-07-2015,4661.600098
20-07-2015,4679.680176
21-07-2015,4674.410156
22-07-2015,4623.240234
23-07-2015,4602.830078
24-07-2015,4557.370117
27-07-2015,4519.089844
28-07-2015,4560.22998
29-07-2015,4581.600098
30-07-2015,4598.589844
31-07-2015,4588.910156
03-08-2015,4580.459961
04-08-2015,4567.470215
05-08-2015,4602.240234
06-08-2015,4528.509766
07-08-2015,4520.080078
10-08-2015,4573.109863
11-08-2015,4513.990234
12-08-2015,4528.189941
13-08-2015,4519.319824
14-08-2015,4530.740234
17-08-2015,4566.370117
18-08-2015,4542.069824
19-08-2015,4510.899902
20-08-2015,4385.129883
21-08-2015,4197.27002
24-08-2015,4038.600098
25-08-2015,4016.320068
26-08-2015,4219.600098
27-08-2015,4324.819824
28-08-2015,4329.120117
31-08-2015,4274.580078
01-09-2015,4142.629883
02-09-2015,4256.22998
03-09-2015,4234.649902
04-09-2015,4184.720215
